symptom_name;disease_common_name
Muscle Weakness;systemic lupus erythematosus
Muscle Weakness;type 1 diabetes mellitus
Muscle Weakness;hypothyroidism
Muscle Weakness;bipolar disorder
Muscle Weakness;endogenous depression
Muscle Weakness;schizophrenia
Muscle Weakness;germ cell cancer
Muscle Weakness;bone cancer
Muscle Weakness;adrenal gland cancer
Muscle Weakness;testicular cancer
Muscle Weakness;peripheral nervous system neoplasm
Muscle Weakness;vascular cancer
Muscle Weakness;ureter cancer
Muscle Weakness;urinary bladder cancer
Muscle Weakness;Paget's disease of bone
Muscle Weakness;psoriatic arthritis
Muscle Weakness;gout
Muscle Weakness;celiac disease
Muscle Weakness;pancreatitis
Muscle Weakness;Behcet's disease
Muscle Weakness;idiopathic pulmonary fibrosis
Muscle Weakness;intracranial aneurysm
Muscle Weakness;Creutzfeldt-Jakob disease
Muscle Weakness;membranous glomerulonephritis
Muscle Weakness;focal segmental glomerulosclerosis
Muscle Weakness;dilated cardiomyopathy
Muscle Weakness;abdominal aortic aneurysm
Muscle Weakness;thoracic aortic aneurysm
Muscle Weakness;atopic dermatitis
Muscle Weakness;attention deficit hyperactivity disorder
Muscle Weakness;primary biliary cirrhosis
Muscle Weakness;otosclerosis
Muscle Weakness;narcolepsy
Quadriplegia;acquired immunodeficiency syndrome
Quadriplegia;breast cancer
Quadriplegia;colon cancer
Quadriplegia;skin cancer
Quadriplegia;osteoporosis
Quadriplegia;rheumatoid arthritis
Quadriplegia;Alzheimer's disease
Quadriplegia;coronary artery disease
Quadriplegia;hypertension
Quadriplegia;systemic scleroderma
Quadriplegia;vitiligo
Quadriplegia;type 2 diabetes mellitus
Quadriplegia;obesity
Quadriplegia;leprosy
Quadriplegia;hepatitis B
Quadriplegia;muscle cancer
Quadriplegia;malignant glioma
Quadriplegia;melanoma
Quadriplegia;esophageal cancer
Quadriplegia;stomach cancer
Quadriplegia;pancreatic cancer
Quadriplegia;brain cancer
Quadriplegia;meningioma
Quadriplegia;spinal cancer
Quadriplegia;mediastinal cancer
Quadriplegia;thymus cancer
Quadriplegia;prostate cancer
Quadriplegia;ankylosing spondylitis
Quadriplegia;Crohn's disease
Quadriplegia;asthma
Quadriplegia;chronic obstructive pulmonary disease
Quadriplegia;multiple sclerosis
Quadriplegia;Parkinson's disease
Quadriplegia;epilepsy syndrome
Quadriplegia;migraine
Quadriplegia;amyotrophic lateral sclerosis
Quadriplegia;Graves' disease
Quadriplegia;chronic kidney failure
Quadriplegia;anemia
Quadriplegia;systemic lupus erythematosus
Quadriplegia;type 1 diabetes mellitus
Quadriplegia;hypothyroidism
Quadriplegia;bipolar disorder
Quadriplegia;endogenous depression
Quadriplegia;bone cancer
Quadriplegia;adrenal gland cancer
Quadriplegia;testicular cancer
Quadriplegia;peripheral nervous system neoplasm
Quadriplegia;vascular cancer
Quadriplegia;urinary bladder cancer
Quadriplegia;Paget's disease of bone
Quadriplegia;celiac disease
Quadriplegia;pancreatitis
Quadriplegia;Behcet's disease
Quadriplegia;dental caries
Quadriplegia;intracranial aneurysm
Quadriplegia;Creutzfeldt-Jakob disease
Quadriplegia;thoracic aortic aneurysm
Reflex, Abnormal;acquired immunodeficiency syndrome
Reflex, Abnormal;skin cancer
Reflex, Abnormal;rheumatoid arthritis
Reflex, Abnormal;Alzheimer's disease
Reflex, Abnormal;coronary artery disease
Reflex, Abnormal;atherosclerosis
Reflex, Abnormal;hypertension
Reflex, Abnormal;systemic scleroderma
Reflex, Abnormal;type 2 diabetes mellitus
Reflex, Abnormal;obesity
Reflex, Abnormal;leprosy
Reflex, Abnormal;malignant glioma
Reflex, Abnormal;retroperitoneal cancer
Reflex, Abnormal;esophageal cancer
Reflex, Abnormal;head and neck cancer
Reflex, Abnormal;brain cancer
Reflex, Abnormal;meningioma
Reflex, Abnormal;spinal cancer
Reflex, Abnormal;mediastinal cancer
Reflex, Abnormal;thymus cancer
Reflex, Abnormal;kidney cancer
Reflex, Abnormal;ulcerative colitis
Reflex, Abnormal;Crohn's disease
Reflex, Abnormal;asthma
Reflex, Abnormal;multiple sclerosis
Reflex, Abnormal;Parkinson's disease
Reflex, Abnormal;epilepsy syndrome
Reflex, Abnormal;migraine
Reflex, Abnormal;amyotrophic lateral sclerosis
Reflex, Abnormal;restless legs syndrome
Reflex, Abnormal;Graves' disease
Reflex, Abnormal;chronic kidney failure
Reflex, Abnormal;anemia
Reflex, Abnormal;systemic lupus erythematosus
Reflex, Abnormal;alopecia areata
Reflex, Abnormal;type 1 diabetes mellitus
Reflex, Abnormal;hypothyroidism
Reflex, Abnormal;panic disorder
Reflex, Abnormal;bipolar disorder
Reflex, Abnormal;schizophrenia
Reflex, Abnormal;germ cell cancer
Reflex, Abnormal;bone cancer
Reflex, Abnormal;adrenal gland cancer
Reflex, Abnormal;peripheral nervous system neoplasm
Reflex, Abnormal;celiac disease
Reflex, Abnormal;pancreatitis
Reflex, Abnormal;Behcet's disease
Reflex, Abnormal;dental caries
Reflex, Abnormal;intracranial aneurysm
Reflex, Abnormal;Creutzfeldt-Jakob disease
Reflex, Abnormal;dilated cardiomyopathy
Reflex, Abnormal;abdominal aortic aneurysm
Reflex, Abnormal;atopic dermatitis
Reflex, Abnormal;attention deficit hyperactivity disorder
Reflex, Abnormal;autistic disorder
Reflex, Abnormal;primary biliary cirrhosis
Reflex, Abnormal;otosclerosis
Reflex, Abnormal;Gilles de la Tourette syndrome
Reflex, Abnormal;narcolepsy
Seizures;acquired immunodeficiency syndrome
Seizures;breast cancer
Seizures;colon cancer
Seizures;skin cancer
Seizures;osteoporosis
Seizures;rheumatoid arthritis
Seizures;Alzheimer's disease
Seizures;coronary artery disease
Seizures;atherosclerosis
Seizures;hypertension
Seizures;systemic scleroderma
Seizures;vitiligo
Seizures;type 2 diabetes mellitus
Seizures;obesity
Seizures;leprosy
Seizures;hepatitis B
Seizures;malaria
Seizures;uterine fibroid
Seizures;malignant glioma
Seizures;melanoma
Seizures;retroperitoneal cancer
Seizures;esophageal cancer
Seizures;rectum cancer
Seizures;stomach cancer
Seizures;liver cancer
Seizures;pancreatic cancer
Seizures;ovarian cancer
Seizures;head and neck cancer
Seizures;brain cancer
Seizures;meningioma
Seizures;spinal cancer
Seizures;uterine cancer
Seizures;kidney cancer
Seizures;ankylosing spondylitis
Seizures;ulcerative colitis
Seizures;Crohn's disease
Seizures;asthma
Seizures;chronic obstructive pulmonary disease
Seizures;multiple sclerosis
Seizures;Parkinson's disease
Seizures;epilepsy syndrome
Seizures;migraine
Seizures;amyotrophic lateral sclerosis
Seizures;Graves' disease
Seizures;chronic kidney failure
Seizures;Kawasaki disease
Seizures;anemia
Seizures;systemic lupus erythematosus
Seizures;type 1 diabetes mellitus
Seizures;hypothyroidism
Seizures;panic disorder
Seizures;bipolar disorder
Seizures;endogenous depression
Seizures;schizophrenia
Seizures;polycystic ovary syndrome
Seizures;malignant mesothelioma
Seizures;bone cancer
Seizures;gallbladder cancer
Seizures;adrenal gland cancer
Seizures;testicular cancer
Seizures;ocular cancer
Seizures;urinary bladder cancer
Seizures;Paget's disease of bone
Seizures;celiac disease
Seizures;pancreatitis
Seizures;Behcet's disease
Seizures;periodontitis
Seizures;idiopathic pulmonary fibrosis
Seizures;intracranial aneurysm
Seizures;Creutzfeldt-Jakob disease
Seizures;glaucoma
Seizures;age related macular degeneration
Seizures;focal segmental glomerulosclerosis
Seizures;dilated cardiomyopathy
Seizures;abdominal aortic aneurysm
Seizures;atopic dermatitis
Seizures;attention deficit hyperactivity disorder
Seizures;autistic disorder
Seizures;Gilles de la Tourette syndrome
Abdominal Pain;acquired immunodeficiency syndrome
Abdominal Pain;breast cancer
Abdominal Pain;colon cancer
Abdominal Pain;skin cancer
Abdominal Pain;osteoporosis
Abdominal Pain;rheumatoid arthritis
